Product,Revenue,CumPct,Category
Goldschlager Cinnamon Schnps,18220.809999999998,0.5636726292072483,A
Kim Crawford Svgn Bl Marlbro,18212.719999999998,0.5642222086679539,A
Reyka Vodka,18159.32,0.5647701767524784,A
Sobieski Vodka,18087.989999999998,0.5653159924126021,A
Hpnotiq Liqueur,18066.14,0.5658611487362173,A
Jim Beam Maple,18047.09,0.5664057302149589,A
Sambuca Romana Liqueur,18027.41,0.5669497178382089,A
Jack Daniels Single Barrel,17957.11,0.5674915841179097,A
Clan MacGregor,17955.899999999998,0.5680334138851539,A
Starborough Svgn Bl Marlboro,17953.14,0.5685751603677865,A
F Coppola Diamond Chard,17879.14,0.5691146738572094,A
Jaboulet Cotes du Rhone Par,17809.43,0.5696520838066773,A
Roscato Rosso,17590.56,0.5701828892260935,A
Crown Royal Black,17517.57,0.5707114921296397,A
Baileys Irish Cream Mini's 4,17507.53,0.5712397920703234,A
Liberty School Cab Svgn,17501.13,0.57176789888727,A
Franciscan Cab Svgn Napa,17452.86,0.5722945491287809,A
Korbel Brut,17436.88,0.5728207171644608,A
Everclear 151,17410.28,0.5733460825296086,A
Franzia Chillable Red Tap,17386.95,0.5738707438983836,A
Bacardi Twin Pack 2/750mls,17331.329999999998,0.5743937269011811,A
Paul Dolan 12 Cab Svgn,17253.49,0.5749143610365266,A
Dewars White Label Scotch,17165.64,0.5754323442468251,A
St Germain Liqueur,17141.82,0.5759496086747147,A
Kapali Coffee,16985.91,0.5764621684273158,A
Black Box Pnt Grigio,16982.46,0.5769746240741526,A
Stone Cellars Merlot,16958.02,0.5774863422297183,A
Christian Bros Brandy,16909.23,0.5779965881185447,A
Mr Boston Light Rum,16902.94,0.5785066442029484,A
Dr McGillicuddy's Menth Trav,16861.87,0.5790154609761207,A
The Macallan 10 Yr Fine Oak,16841.5,0.5795236630726485,A
Zhenka Raspberry Vodka,16785.55,0.5800301768452562,A
Baileys Salted Caramel,16683.149999999998,0.5805336006380708,A
Popov Vodka,16666.170000000002,0.5810365120494706,A
Ch Ste Michelle Cab Svgn Col,16657.61,0.581539165157872,A
Calypso Spiced Rum,16594.16,0.582039903625474,A
Schug Pnt Nr Carneros,16537.36,0.5825389281199094,A
Zhenka Vodka,16532.25,0.5830377984171111,A
Sterling Vintners Cltn Pnt N,16496.14,0.5835355790739776,A
Catena Lunlunta Malbec Argn,16459.09,0.5840322417254599,A
Franzia Chablis Old World C,16420.21,0.5845277311502396,A
Moet Nectar Imperial Rose,16411.19,0.5850229483912524,A
Patron Reposado Tequila,16337.54,0.5855159432005097,A
Phillips Earthquake Ld Znfdl,16307.71,0.5860080378720988,A
Canadian Regal,16273.710000000001,0.5864991065738347,A
Barefoot Merlot Cal,16257.29,0.5869896797924827,A
Silver Oak Cab Svgn Napa,16188.16,0.5874781669730146,A
Cupcake Red Velvet,16174.03,0.5879662277725458,A
Sutter Home Merlot Cal,16146.03,0.5884534436557273,A
DeKuyper Buttershots Schnpps,16120.25,0.5889398816123554,A
Campari,15984.67,0.5894222283633163,A
Lindemans Bin 65 Chard,15955.73,0.5899037018328784,A
Gascon Malbec Mendoza,15920.55,0.5903841137253985,A
Bread & Butter Chard,15916.75,0.5908644109506996,A
Tanqueray Rangpur Gin,15823.27,0.5913418873624162,A
Smirnoff Kissed Caramel,15682.34,0.5918151111290915,A
Ice 101 Peppermint Schnapps,15639.75,0.5922870497176478,A
DiSaronna Amaretto Sour VAP,15596.829999999998,0.5927576931701424,A
Columbia Crest Grand Merlot,15593.130000000001,0.5932282249729764,A
Black Box Merlot Cal,15565.48,0.5936979224209152,A
Castillo Silver Label Rum,15526.64,0.5941664478491748,A
Fleischmanns Preferred,15497.11,0.5946340821924413,A
Leese-Fitch Cab Svgn,15462.93,0.5951006851342494,A
Andre Extra Dry,15432.76,0.5955663776786909,A
Tilia Malbec Mendoza,15424.56,0.5960318227833442,A
Johnnie Walker Double Black,15400.310000000001,0.5964965361300876,A
Dom de Dionysos La Deveze,15394.73,0.5969610810970727,A
Amaretto di Amore,15306.75,0.5974229712161848,A
Ghost Pine Cab Svgn LMartini,15291.46,0.5978843999506189,A
Camarena Silver Tequila,15285.97,0.5983456630210973,A
Peter Vella Chard Cal B/B,15273.14,0.598806538938834,A
Zhenka Tropical Dark Rum,15252.15,0.5992667814710642,A
Vanya Light Vodka,15214.329999999998,0.5997258827627108,A
The Macallan 18 Yr Old,15199.41,0.6001845338346453,A
Acumen Moutainside Red Napa,15143.939999999999,0.6006415110669401,A
Da Vinci Chianti Tuscany,15133.95,0.6010981868451514,A
Aberlour Glenlivet 12 Yr,15122.230000000001,0.6015545089655193,A
Benziger Cab Svgn Sonoma,15114.22,0.60201058937946,A
Columbia Crest Grand Chard,15110.85,0.602466568101683,A
Mr Boston Coffee Brandy,15094.89,0.6029220652215866,A
Johnnie Walker Green Label,15057.49,0.6033764337746517,A
Landmark Overlook Chard,15030.6,0.6038299909062653,A
Blantons Sgl Barrel Bourbon,15021.36,0.6042832692154836,A
A to Z Pnt Nr Ore,15006.96,0.6047361129962935,A
Knob Creek Smoked Maple,14974.65,0.6051879818039869,A
Masciarelli Montepulciano,14897.81,0.6056375319198123,A
Capt Morgan Cannon Blast,14894.289999999999,0.6060869758175822,A
Erath Pnt Nr Oregon,14884.66,0.6065361291244791,A
The Dreaming Tree Crush Red,14794.59,0.6069825645165327,A
R M Woodbridge Pnt Nr,14785.27,0.607428718672144,A
Hennessey VS +VSOP 50mL,14783.88,0.6078748308836938,A
Pinnacle Tropical Punch,14764.31,0.6083203525590662,A
Perrier Jouet Grand Brut,14749.73,0.6087654342744253,A
St Brendans Irish Cream,14731.44,0.6092099640783546,A
Line 39 Cab Svgn Lake Cnty,14716.27,0.6096540361186757,A
19 Crimes Red,14715.27,0.610098077983413,A
Ch Ste Michelle Rsl,14683.82,0.6105411708260361,A
The Prisoner Red Napa Valley,14682.480000000001,0.6109842232333768,A
Cooks Extra Dry,14676.14,0.6114270843275155,A
C K Mondavi Chard,14650.41,0.6118691690038799,A
Cabo Wabo Blanco Tequila,14564.59,0.6123086640116326,A
Glen Ellen Cab Svgn RSV,14532.210000000001,0.6127471819339783,A
DeKuyper Peachtree Schnapps,14521.960000000001,0.6131853905565886,A
Ch Macard Brdx Superieur,14450.36,0.6136214386073906,A
Sutter Home Cab Svgn,14424.66,0.6140567111456859,A
Yellow Tail Pnt Grigio Ausl,14377.62,0.6144905642245139,A
Estancia Cab Svgn Paso Roble,14356.05,0.6149237664159968,A
Ciroc Coconut Vodka,14338.58,0.6153564414400285,A
Cupcake Cab Svgn,14332.33,0.6157889278666607,A
M & R X Dry Vermouth,14297.960000000001,0.6162203771584739,A
Mirassou Pnt Nr Cntrl Coast,14276.12,0.6166511674155344,A
Seghesio Znfdl Sonoma,14274.859999999999,0.6170819196513591,A
R M Woodbridge Chard,14272.45,0.6175125991640265,A
Pizzolato Pnt Grigio,14252.61,0.6179426799931089,A
MacMurray Ranch C Cst Pnt Nr,14244.169999999998,0.6183725061402632,A
Benziger Chard,14121.93,0.6187986436240396,A
Benchmark Old #8 Bourbon,14120.58,0.6192247403707776,A
Trapiche Malbec Mendoza Oak,14094.54,0.6196500513453104,A
Kinky Liqueur,14049.199999999999,0.6200739941588684,A
Glen Ellen Merlot RSV,14028.93,0.6204973253133406,A
Clos Pegase Merlot Napa,13978.23,0.6209191265657081,A
La Crema Pnt Nr Sonoma Cst,13888.0,0.6213382050751388,A
Monkey Bay Svgn Bl,13851.64,0.6217561864003385,A
Napa Highlands Meritage,13846.14,0.6221740017598265,A
Clean Slate Rsl Mosel,13752.11,0.6225889797091588,A
Matua Svgn Bl Marlboro,13750.57,0.623003911188092,A
Rodney Strong Pnt Nr,13748.779999999999,0.6234187886527299,A
Ferrari-Carano Chard,13709.789999999999,0.623832489571351,A
Crown Royal Maple Whisky,13698.17,0.624245839849687,A
Kinky Blue Liqueur,13601.91,0.624656285426315,A
Knob Creek Single Barrel Rsv,13538.070000000002,0.625064804593666,A
Patron XO Cafe Liqueur,13479.279999999999,0.6254715497384384,A
Ruffino Chianti Clsc RSV Tan,13449.259999999998,0.6258773890121818,A
14 Hands Hot to Trot Red,13372.710000000001,0.6262809183449763,A
Cesari Valpolicella Clsc Am,13345.55,0.6266836281089117,A
Black Velvet Traveler,13300.76,0.6270849863084434,A
Bota Box Pnt Grigio Cal,13245.619999999999,0.627484680626278,A
